Loading channels: ...working... done
opencv                         4.7.0 py310hb6292c7_3  conda-forge         
opencv                         4.7.0 py310hb6292c7_4  conda-forge         
opencv                         4.7.0 py310hb6292c7_5  conda-forge         
opencv                         4.7.0 py310hb6292c7_6  conda-forge         
opencv                         4.7.0 py311ha1ab1f8_0  conda-forge         
opencv                         4.7.0 py311ha1ab1f8_1  conda-forge         
opencv                         4.7.0 py311ha1ab1f8_2  conda-forge         
opencv                         4.7.0 py311ha1ab1f8_3  conda-forge         
opencv                         4.7.0 py311ha1ab1f8_4  conda-forge         
opencv                         4.7.0 py311ha1ab1f8_5  conda-forge         
opencv                         4.7.0 py311ha1ab1f8_6  conda-forge         
opencv                         4.7.0  py38h150bfb4_0  conda-forge         
opencv                         4.7.0  py38h150bfb4_1  conda-forge         
opencv                         4.7.0  py38h150bfb4_2  conda-forge         
opencv                         4.7.0  py38h150bfb4_3  conda-forge         
opencv                         4.7.0  py38h150bfb4_4  conda-forge         
opencv                         4.7.0  py38h150bfb4_5  conda-forge         
opencv                         4.7.0  py38h150bfb4_6  conda-forge         
opencv                         4.7.0  py39hdf13c20_0  conda-forge         
opencv                         4.7.0  py39hdf13c20_1  conda-forge         
opencv                         4.7.0  py39hdf13c20_2  conda-forge         
opencv                         4.7.0  py39hdf13c20_3  conda-forge         
opencv                         4.7.0  py39hdf13c20_4  conda-forge         
opencv                         4.7.0  py39hdf13c20_5  conda-forge         
opencv                         4.7.0  py39hdf13c20_6  conda-forge         
opencv                         4.8.0 py310hb6292c7_0  conda-forge         
opencv                         4.8.0 py310hb6292c7_1  conda-forge         
opencv                         4.8.0 py310hb6292c7_2  conda-forge         
opencv                         4.8.0 py310hb6292c7_3  conda-forge         
opencv                         4.8.0 py310hb6292c7_4  conda-forge         
opencv                         4.8.0 py311ha1ab1f8_0  conda-forge         
opencv                         4.8.0 py311ha1ab1f8_1  conda-forge         
opencv                         4.8.0 py311ha1ab1f8_2  conda-forge         
opencv                         4.8.0 py311ha1ab1f8_3  conda-forge         
opencv                         4.8.0 py311ha1ab1f8_4  conda-forge         
opencv                         4.8.0  py38h150bfb4_0  conda-forge         
opencv                         4.8.0  py38h150bfb4_1  conda-forge         
opencv                         4.8.0  py38h150bfb4_2  conda-forge         
opencv                         4.8.0  py38h150bfb4_3  conda-forge         
opencv                         4.8.0  py38h150bfb4_4  conda-forge         
opencv                         4.8.0  py39hdf13c20_0  conda-forge         
opencv                         4.8.0  py39hdf13c20_1  conda-forge         
opencv                         4.8.0  py39hdf13c20_2  conda-forge         
opencv                         4.8.0  py39hdf13c20_3  conda-forge         
opencv                         4.8.0  py39hdf13c20_4  conda-forge         
opencv                         4.8.1 py310h425639b_4  conda-forge         
opencv                         4.8.1 py310h66be37d_5  conda-forge         
opencv                         4.8.1 py310hb6292c7_0  conda-forge         
opencv                         4.8.1 py310hb6292c7_1  conda-forge         
opencv                         4.8.1 py310hb6292c7_2  conda-forge         
opencv                         4.8.1 py310hb6292c7_3  conda-forge         
opencv                         4.8.1 py311h24019a2_5  conda-forge         
opencv                         4.8.1 py311ha1ab1f8_0  conda-forge         
opencv                         4.8.1 py311ha1ab1f8_1  conda-forge         
opencv                         4.8.1 py311ha1ab1f8_2  conda-forge         
opencv                         4.8.1 py311ha1ab1f8_3  conda-forge         
opencv                         4.8.1 py311hb792cb8_4  conda-forge         
opencv                         4.8.1 py312h1f38498_3  conda-forge         
opencv                         4.8.1 py312h2a52fbe_5  conda-forge         
opencv                         4.8.1 py312hadae1fc_4  conda-forge         
opencv                         4.8.1  py38h150bfb4_0  conda-forge         
opencv                         4.8.1  py38h150bfb4_1  conda-forge         
opencv                         4.8.1  py38h150bfb4_2  conda-forge         
opencv                         4.8.1  py38h150bfb4_3  conda-forge         
opencv                         4.8.1  py38h4089ac5_5  conda-forge         
opencv                         4.8.1  py38h90ce1f2_4  conda-forge         
opencv                         4.8.1  py39h36b89f1_4  conda-forge         
opencv                         4.8.1  py39h85db1cd_5  conda-forge         
opencv                         4.8.1  py39hdf13c20_0  conda-forge         
opencv                         4.8.1  py39hdf13c20_1  conda-forge         
opencv                         4.8.1  py39hdf13c20_2  conda-forge         
opencv                         4.8.1  py39hdf13c20_3  conda-forge         
opencv                         4.9.0 py310h3038a9f_6  conda-forge         
opencv                         4.9.0 py310h3038a9f_7  conda-forge         
opencv                         4.9.0 py310h66be37d_5  conda-forge         
opencv                         4.9.0 py311h24019a2_5  conda-forge         
opencv                         4.9.0 py311h404381a_6  conda-forge         
opencv                         4.9.0 py311h404381a_7  conda-forge         
opencv                         4.9.0 py312h2a52fbe_5  conda-forge         
opencv                         4.9.0 py312hbd376ba_6  conda-forge         
opencv                         4.9.0 py312hbd376ba_7  conda-forge         
opencv                         4.9.0  py38h4089ac5_5  conda-forge         
opencv                         4.9.0  py38h5688465_6  conda-forge         
opencv                         4.9.0  py38h5688465_7  conda-forge         
opencv                         4.9.0  py39h85db1cd_5  conda-forge         
opencv                         4.9.0  py39ha2dbdf8_6  conda-forge         
opencv                         4.9.0  py39ha2dbdf8_7  conda-forge         
